,codigo,titulo,fecha_inicio,fecha_fin,investigadores,institucion,programa,fuente
0,1191879,La Corte Suprema de Justicia chilena en el recurso de nulidad penal,01/08/2018,01/08/2018,"R. Rivero, P. Becerra",Universidad de Valparaiso,FONDECYT,Regular
1,1240983,Las sanciones procesales a la luz de la teoría de las normas,01/07/2023,01/07/2023,F. Carbonell / T. Vogt,Departamento de Derecho Procesal,FONDECYT,Regular
2,3220629,Decisiones automatizadas en el Estado,01/09/2021,01/09/2021,F. Carbonell,Departamento de Derecho Procesal,FONDECYT,Postdoctorado
3,1220443,"Prostitución y trabajo sexual como problemas de justicia social: un análisis desde las nociones de redistribución, reconocimiento y participación",01/08/2021,01/08/2021,P. Aguayo / F. Carbonell,Departamento de Ciencias del Derecho,FONDECYT,Regular
4,3220683,Criterios interpretativos para determinar el significado de normas contractuales indeterminadas,01/10/2021,01/10/2021,M. Bustos / F. Carbonell,Departamento de Derecho Privado,FONDECYT,Postdoctorado
5,1200176,Responsabilidad civil extracontractual: análisis crítico del razonamiento y comportamiento de la Corte Suprema desde una perspectiva civil y procesal,01/03/2020,01/03/2023,C. Banfi / F. Carbonell,Departamento de Derecho Privado,FONDECYT,Regular
6,IM19CORSLab,"Instituto Milenio¿Comportamiento, Organizaciones y Responsabilidad Social: Lab de Diseño Conductual",01/11/2019,01/11/2019,"A. Barroilhet, F. Carbonell",PUC. Escuela de Psicología,Iniciativa científica Milenio,Institutos Milenios
7,1191634,Error y proceso judicial,01/04/2019,01/04/2021,F. Carbonell / J. Valenzuela,Departamento de Derecho Procesal,FONDECYT,Regular
8,11140245,Los considerandos de la política. Un estudio empírico de las argumentaciones ideológicas en la jurisprudencia de la sala constitucional y contencioso administrativa de la Corte Suprema,01/03/2014,01/03/2017,F. Carbonell,Departamento de Derecho Procesal,FONDECYT,Regular
9,1190520,Eficiencia en las Cortes de Apelaciones: Costos y beneficios del funcionamiento de los recursos procesales en materia civil,01/08/2018,01/08/2018,N. Carrasco,U. Católica de Valparaiso,FONDECYT,Regular
10,140-728,LATINBANKS: Estudio sobre las implicaciones jurídicas y sociales de la creación de bancos de material biológico en latinoamérica,01/12/2007,01/12/2009,L. Donoso,Departamento de Derecho Procesal,Programa ALFA,ALFA
